title,movie_id,crew,tags
v for vendetta,752,James McTeigue,"action, thriller, fantasydetective, vatican, fascism, satanism, fascist, dystopia, government, chancellor, revenge, personif of satan, torture, hatred, mask vigilante, catholicism, cathol priest, cathol guilt, jesuit, veng spirit, activist, irish catholic, vengeful, jesuit priest, gnosticism, occultismin a world in which great britain ha becom a fascist state, a mask vigilant known onli as 'v' conduct guerrilla warfar against the oppress british government. when 'v' rescu a young woman from the secret police, he find in her an alli with whom he can continu hi fight to free the peopl of britain.natali portman, hugo weaving, stephen rea"
shanghai knights,6038,David Dobkin,"action, adventure, comedy, westernlondon england, indian territory, emperor, revenge, murder, arrow, duringcreditsstinger, imperi sealth dynam duo of chon wang and roy o'bannon return for anoth crazi adventure. thi time, they'r in london to aveng the murder of chon' father, but end up on an even bigger case. chon' sister is there to do the same, but instead unearth a plot to kill the royal family. no one believ her, though, and it' up to chon and roy (who ha romanc on hi mind) to prove her right.jacki chan, owen wilson, fann wong"
curious george,9975,Matthew O'Callaghan,"adventure, animation, comedy, familymuseum, product placement, balloon, jungle, monkey, family, prediction, cargo ship, curiositywhen the man in the yellow hat befriend curiou georg in the jungle, they set off on a non-stop, fun-fil journey through the wonder of the big citi toward the warmth of true friendship.wil ferrell, drew barrymore, david cross"
herbie fully loaded,11451,Angela Robinson,"comedy, family, adventure, fantasy, romancecar race, victory, car, nascar, woman directormaggi peyton, the new owner of number 53 - the free-wheelin' volkswagen bug with a mind of it own - put the car through it pace on the road to becom a nascar competitor.lindsay lohan, michael keaton, matt dillon"
don't say a word,12103,Gary Fleder,"thrillercemetery, diamant, suspense, psychiatrist, killerwhen the daughter of a psychiatrist is kidnapped, he' horrifi to discov that the abductors' demand is that he break through to a post traumat stress disord suffer young woman who know a secret..michael douglas, sean bean, brittani murphi"
hansel & gretel: witch hunters,60304,Tommy Wirkola,"fantasy, horror, actionwitch, black magic, steampunk, good vs evil, troll, extrem violence, violence, witchcraft, evil, witch hunt, witch hunter, evil witch, duringcreditsstinger, hansel and gretel, guns, 3dafter get a tast for blood as children, hansel and gretel have becom the ultim vigilantes, hell-bent on retribution. now, unbeknownst to them, hansel and gretel have becom the hunted, and must face an evil far greater than witches... their past.jeremi renner, gemma arterton, famk janssen"
unfaithful,2251,Adrian Lyne,"thriller, dramaadultery, infidelity, eroticism, literature, lover, new york city, erot thrillerconni is a wife and mother whose 11-year marriag to edward ha lost it sexual spark. when conni liter run into handsom book collector paul, he sweep her into an all-consum affair. but edward soon becom suspici and decid to confront the other man.richard gere, dian lane, olivi martinez"
i am number four,46529,D.J. Caruso,"action, thriller, scienc fiction, adventuresecret identity, alien, teenag boy, teenag hero, alien teenager, interspeci romance, base on young adult novel, superpowersa teenag fugit with an incred secret race to stay one step ahead of the mysteri forc seek destroy him in thi sci-fi action thriller. with three dead and one on the run, the race to find the elus number four begins. outwardli normal teen john smith never get too comfort in the same identity, and along with hi guardian, henri, he is constantli move from town to town. with each pass day, john gain a stronger grasp on hi extraordinari new powers, and hi bond to the be that share hi fantast fate grow stronger.alex pettyfer, timothi olyphant, teresa palmer"
syriana,231,Stephen Gaghan,"drama, thrilleranti terror, bomb, assassination, middl east, lebanon, cia, capitalism, globalization, loss of son, persia, war against terror, energi policy, petrolth middl eastern oil industri is the backdrop of thi tens drama, which weav togeth numer stori lines. bennett holiday is an american lawyer in charg of facilit a dubiou merger of oil companies, while bryan woodman, a switzerland-bas energi analyst, experi both person tragedi and opportun dure a visit with arabian royalty. meanwhile, veteran cia agent bob barn uncov an assassin plot with unsettl origins.georg clooney, matt damon, jeffrey wright"
13 hours: the secret soldiers of benghazi,300671,Michael Bay,"action, drama, history, thriller, warbas on novel, assault rifle, mercenary, libya, biography, base on true story, heroism, explosion, american abroad, death, 21st century, cia agent, u.s. ambassadoran american ambassador is kill dure an attack at a u.s. compound in libya as a secur team struggl to make sens out of the chaos.jam badg dale, john krasinski, max martini"
the book of life,228326,Jorge R. Gutierrez,"romance, animation, adventure, comedy, family, fantasylov triangle, afterlife, day of the dead, bullfightingth journey of manolo, a young man who is torn between fulfil the expect of hi famili and follow hi heart. befor choos which path to follow, he embark on an incred adventur that span three fantast world where he must face hi greatest fears.diego luna, chan tatum, zoe saldana"
firewall,9754,Richard Loncraine,"thrillerbank, technology, blackmail, hacker, seattle, comput hacker, firewallstate-of-the-art secur system creator, jack stanfield ha cement hi reput as a man who' thought of everything. but when a crimin find a way into jack' person life, everyth jack hold dear is suddenli at stake.harrison ford, paul bettany, virginia madsen"
absolute power,66,Clint Eastwood,"crime, drama, thrillercorruption, assassination, washington d.c., rape, white house, usa president, daughter, government, suspense, secret service, secret servic agenta master thief coincident is rob a hous where a murder in which the presid of the unit state is involv occur in front of hi eyes. he is forc to run yet may hold evid that could convict the president. a polit thriller from and star clint eastwood and base on a novel by david baldacci.clint eastwood, gene hackman, ed harri"
g.i. jane,4421,Ridley Scott,"action, dramapoem, middl east, helicopter, satellite, navy, sexism, war, army, sexual harassment, navi seal, feminist, soldier, commando, mental health, drill instructor, military, u.s. military, armi base, reconnaissance, sexual discriminationa femal senat succe in enrol a woman into combin reconnaiss team train where everyon expect her to fail.demi moore, viggo mortensen, ann bancroft"
the game,2649,David Fincher,"drama, thriller, mysterybroth brother relationship, birthday, danger of life, birthday party, surprisingin honor of hi birthday, san francisco banker nichola van orton, a financi geniu and a coldheart loner, receiv an unusu present from hi younger brother, conrad -- a gift certif to play a uniqu kind of game. in nearli a nanosecond, nichola find himself consum by a danger set of ever-chang rules, unabl to distinguish where the charad end and realiti begins.michael douglas, sean penn, deborah kara unger"
silent hill,588,Christophe Gans,"horror, mysterymonster, mother role, burn of witches, fog, suffering, darkness, sadism, supernatural, revenge, surrealism, gore, survival, good vs evil, blood, anoth dimension, torture, creature, violence, demon, witch burning, base on video game, dismemberment, religi fanatic, ghost town, sleepwalkingth eeri and desert ghost town of silent hill draw a young mother desper to find a cure for her onli child' illness. unabl to accept the doctor' diagnosi that her daughter should be perman institution for psychiatr care, rose flee with her child, head for the abandon town in search of answer – and ignor the protest of her husband. it' soon clear thi place is unlik anywher she' ever been. it' smother by fog, inhabit by a varieti of strang be and period overcom by a live 'darkness' that liter transform everyth it touches. as rose search for her littl girl, she begin to learn the histori of the strang town and realiz that her daughter is just a pawn in a larger game.radha mitchell, sean bean, lauri holden"
the replacements,10393,Howard Deutch,"comedyamerican football, strike, sport, coach, misfit, american footbal playermaverick old-guard coach jimmi mcginti is hire in the wake of a players' strike to help the washington sentinel advanc to the playoffs. but that imposs dream hing on whether hi replac can hunker down and do the job. so, mcginti dust off hi secret dossier of ex-play who never got a chanc (or screw up the one they were given) and knit togeth a bad-dream team of guy who just may give the sentinel their titl shot.keanu reeves, gene hackman, brook langton"
american reunion,71552,"Jon Hurwitz, Hayden Schlossberg","comedywif husband relationship, sequel, famili reunion, masturbation, scat, high school reunion, quit a job, milf, duringcreditsstingerth charact we met a littl more than a decad ago are return to east great fall for their high-school reunion. in one long-overdu weekend, they will discov what ha changed, who hasn’t and that time and distanc can’t break the bond of friendship. it wa summer 1999 when four small-town michigan boy began a quest to lose their virginity. in the year that have passed, jim and michel marri while kevin and vicki said goodbye. oz and heather grew apart, but finch still long for stifler’ mom. now these lifelong friend have come home as adult to reminisc about – and get inspir by – the hormon teen who launch a comedi legend.jason biggs, alyson hannigan, seann william scott"
the negotiator,9631,F. Gary Gray,"action, adventure, crime, drama, mystery, thrillercorruption, hostage, pension, innocence, police, hostage-taking, murder, suspense, conspiracy, bullet wound, negotiatorth polic tri to arrest expert hostag negoti danni roman, who insist he' be frame for hi partner' murder in what he believ is an elabor conspiracy. think there' evid in the intern affair offic that might clear him, he take everyon in the offic hostag and demand that anoth well-known negoti be brought in to handl the situat and secretli investig the conspiracy.samuel l. jackson, kevin spacey, david mors"
into the storm,216282,Steven Quale,"action, thrillertornado, student, found footage, disast movieth town of silverton is in one day destroy by the unpreced power of a seri of tornadoes. the popul is at the merci of the unpredict and deadli cyclones, while hunter warn that the worst is yet to come. most peopl find shelter, but some just go to the tornado for that one, uniqu shot.richard armitage, sarah wayn callies, matt walsh"
beverly hills cop iii,306,John Landis,"action, comedy, crimedetective, undercover, secur camera, carousel , investigation, weapon, sequel, rescue, counterfeit, shootout, dirti cop, gunfight, lo angeles, explosion, violence, foot chase, framed, car chase, secret service, amus park, roller coaster, beverli hills, buddi comedyback in sunni southern california and on the trail of two murderers, axel foley again team up with la cop billi rosewood. soon, they discov that an amus park is be use as a front for a massiv counterfeit ring – and it' run by the same gang that shot billy' boss.eddi murphy, judg reinhold, héctor elizondo"
gremlins 2: the new batch,928,Joe Dante,"comedy, horror, fantasynew york, monster, skyscraper, mutant, restaurant, human anim relationship, mutation, tv station, die and death, water, research station, fur, bat, current, electr shock, cleverness, gremlin, cowardlinessyoung sweetheart billi and kate move to the big apple, land job in a high-tech offic park and soon reunit with the friendli and lovabl gizmo. but a seri of accid creat a whole new gener of gremlins. the situat worsen when the devilish green creatur invad a top-secret laboratori and develop genet alter powers, make them even harder to destroy!zach galligan, phoeb cates, john glover"
the judge,205587,David Dobkin,"dramafath son relationship, judge, lawyera success lawyer return to hi hometown for hi mother' funer onli to discov that hi estrang father, the town' judge, is suspect of murder.robert duvall, robert downey jr., vera farmiga"
the peacemaker,6623,Mimi Leder,"action, thrillerhelicopter, terrorist, nuclear missile, bridge, train crash, train, woman directorwhen a train carri atom warhead mysteri crash in the former soviet union, a nuclear specialist discov the accid is realli part of a plot to cover up the theft of the weapons. assign to help her recov the miss bomb is a crack special forc colonel.georg clooney, nicol kidman, marcel iureș"
resident evil: apocalypse,1577,Alexander Witt,"horror, action, scienc fictionmarti arts, mutant, dystopia, rescue, conspiracy, evil corporation, zombie, base on video gamea the citi is lock down under quarantine, alic join a small band of elit soldiers, enlist to rescu the miss daughter of the creator of the mutat t-virus. it' a heart-pound race against time as the group face off against hord of blood- thirsti zombies, stealthi lickers, mutant canin and the most sinist foe yet.milla jovovich, sienna guillory, ode fehr"
bridget jones: the edge of reason,9801,Beeban Kidron,"comedy, romancelondon england, lovesickness, thailand, clumsi fellow, to drop brick, capture, woman directorbridget jone is becom uncomfort in her relationship with mark darcy. apart from discov that he' a conserv voter, she ha to deal with a new boss, a strang contractor and the worst vacat of her life.rené zellweger, hugh grant, colin firth"
out of time,2116,Carl Franklin,"thriller, crime, dramamiami, florida, doubl murder, divorcematt lee whitlock, respect chief of polic in small banyan key, florida, must solv a viciou doubl homicid befor he himself fall under suspicion. matt lee ha to stay a few step ahead of hi own polic forc and everyon he' trust in order to find out the truth.denzel washington, eva mendes, sanaa lathan"
on deadly ground,9624,Steven Seagal,"action, thrillerfight, inuit, petrol, company, alaska, enviromentalforrest taft is an environment agent who work for the aegi oil compani in alaska. aegi oil' corrupt ceo, michael jennings, is the kind of person who doesn't care whether or not oil spill into the ocean or onto the land, just as long as it' make money for him.steven seagal, michael caine, joan chen"
the adventures of sharkboy and lavagirl,14199,Robert Rodriguez,"adventure, family, scienc fictionimaginari friend, outcasteveryon alway knew that max had a wild imagination, but no one believ that hi wildest creation -- a boy rais by watch great white shark and a girl with the forc of a volcano -- were real. now, these two pint-siz action master will show max that even an ordinari kid ha what it take to be extraordinary.taylor lautner, taylor dooley, cayden boyd"
the beach,1907,Danny Boyle,"drama, adventure, romance, thrillerhippie, exot island, beach, map, group dynamics, shark attack, leader, thailand, community, backpacker, delusion, marijuana, youth, shark, extramarit affairtwenty-someth richard travel to thailand and find himself in possess of a strang map. rumour state that it lead to a solitari beach paradise, a tropic bliss - excit and intrigued, he set out to find it.leonardo dicaprio, guillaum canet, tilda swinton"
raising helen,4599,Garry Marshall,"drama, comedy, romancenew york, pastor, world of fasion, loss of parents, mannequin, fashion designer, famili relationshipshelen harri ha a glamorous, big-citi life work for one of new york' hottest model agencies. but suddenli her free-spirit life get turn upsid down when she must chose between the life she' alway loved, and the new love of her life!k hudson, john corbett, joan cusack"
ninja assassin,22832,James McTeigue,"action, crime, thrillerassassination, assassin, ninja fighter, revenge, ninja, ninjutsuninja assassin follow raizo (rain), one of the deadliest assassin in the world. taken from the street as a child, he wa transform into a train killer by the ozunu clan, a secret societi whose veri exist is consid a myth. but haunt by the merciless execut of hi friend by the clan, raizo break free from them and vanishes. now he waits, prepar to exact hi revenge.rain, naomi harris, sung kang"
for love of the game,10390,Sam Raimi,"drama, romancebaseball, trainer, career, legend, training, sporta basebal legend almost finish with hi distinguish career at the age of forti ha one last chanc to prove who he is, what he is capabl of, and win the heart of the woman he ha love for the past four years.kevin costner, kelli preston, john c. reilli"
striptease,9879,Andrew Bergman,"drama, thriller, crimeblackmail, strip club, striptease, police, u.s. congressbounc from her job, erin grant need money if she' to have ani chanc of win back custodi of her child. but, eventually, she must confront the nake truth: to take on the system, she'll have to take it all off. erin strip to conquer, but she face unintend circumst when a hound dog of a congressman zero in on her and sharpen the shadi tool at hi fingertips, includ blackmail and murder.demi moore, burt reynolds, armand assant"
marmaduke,38579,Tom Dey,"family, comedywhen phil and debbi winslow reloc from their nativ kansa to the sunni clime of orang county, their big-hearted, havoc-wreak great dane get a tast of the dog' life, california-style.owen wilson, emma stone, georg lopez"
hereafter,44603,Clint Eastwood,"drama, fantasya supernatur thriller center on three peopl -- a blue-collar american, a french journalist and a london school boy -- who are touch by death in differ ways.matt damon, bryce dalla howard, georg mclaren"
murder by numbers,11892,Barbet Schroeder,"crime, drama, thrillerdetective, secret, fbi, homicide, evidence, nerd, vice, intellectual, high school, partner, murder, rich, forensictenaci homicid detect cassi mayweath and her still-green partner are work a murder case, attempt to profil two malevol brilliant young men: cold, calcul killer whose dark secret might explain their crimes.sandra bullock, ben chaplin, ryan gosl"
assassins,9691,Richard Donner,"action, adventure, crime, thrillercompetition, assassination, cia, bank, cat, mexican standoff, seattle, hitman, mission of murder, hidden camera, rivalry, rescue, shootout, polic chase, sniper rifle, silencer, doubl cross, caribbean, detroit michiganassassin robert rath arriv at a funer to kill a promin mobster, onli to wit a rival hire gun complet the job for him -- with grisli results. horrifi by the murder of innoc bystanders, rath decid to take one last job and then return to civilian life. but find hi way out of the world of contract kill grow ever more danger as rath fall for hi femal target and becom a mark man himself.sylvest stallone, antonio banderas, juliann moor"
hannibal rising,1248,Peter Webber,"crime, drama, thrillerwinter, psychopath, horror, serial killerth stori of the early, murder root of the cannibalist killer, hannib lecter – from hi hard-scrabbl lithuanian childhood, where he wit the repuls length to which hungri soldier will go to satiat themselves, through hi sojourn in france, where as a med student he hone hi appetit for the kill.gaspard ulliel, aaran thomas, gong li"
the story of us,12220,Rob Reiner,"comedy, drama, romancelov of one' life, therapist, psychology, wedding, relationship, divorceben and kati jordan are a marri coupl who go through hard time in fifteen year of marriage.bruc willis, michel pfeiffer, rob reiner"
the host,72710,Andrew Niccol,"action, adventure, romance, scienc fiction, thrillerbas on novel, mass murder, dystopia, genocide, alien invasion, duringcreditsstinger, interspeci romance, alien parasitesa parasit alien soul is inject into the bodi of melani stryder. instead of carri out her race' mission of take over the earth, ""wanda"" (a she come to be called) form a bond with her host and set out to aid other free humans.saoirs ronan, dian kruger, jake abel"
the host,1255,Bong Joon-ho,"action, adventure, romance, scienc fiction, thrillerbas on novel, mass murder, dystopia, genocide, alien invasion, duringcreditsstinger, interspeci romance, alien parasitesa parasit alien soul is inject into the bodi of melani stryder. instead of carri out her race' mission of take over the earth, ""wanda"" (a she come to be called) form a bond with her host and set out to aid other free humans.song kang-ho, park hae-il, bae doona"
the host,72710,Andrew Niccol,"horror, drama, scienc fictionriver, mobil phone, bravery, archer, daughter, sewerage, pollution, formaldehyde, snack bar, familygang-du is a dim-wit man work at hi father' tini snack bar near the han river. one day, gang-du' one and onli daughter hyun-seo come back from school irritated. she is angri at her uncle, nam-il, who visit her school as her guardian shamelessli drunk. ignor her father' excus for nam-il, hyun-seo is soon engross in her aunt nam-joo' archeri tournament on tv. meanwhile, outsid of the snack bar, peopl are fascin by an unidentifi object hang onto a bridge. in an instant, the object reveal itself as a terrifi creatur turn the riverbank into a gruesom sea of blood¡¦ amid the chaos, hyun-seo is helplessli snatch up by the creatur right befor gang-du' eyes. these unforeseen circumst render the govern powerless to act. but receiv a call of help from hyun-seo, the once-ordinari citizen gang-du and hi famili are thrust into a battl with the monster to rescu their belov hyun-seo.saoirs ronan, dian kruger, jake abel"
the host,1255,Bong Joon-ho,"horror, drama, scienc fictionriver, mobil phone, bravery, archer, daughter, sewerage, pollution, formaldehyde, snack bar, familygang-du is a dim-wit man work at hi father' tini snack bar near the han river. one day, gang-du' one and onli daughter hyun-seo come back from school irritated. she is angri at her uncle, nam-il, who visit her school as her guardian shamelessli drunk. ignor her father' excus for nam-il, hyun-seo is soon engross in her aunt nam-joo' archeri tournament on tv. meanwhile, outsid of the snack bar, peopl are fascin by an unidentifi object hang onto a bridge. in an instant, the object reveal itself as a terrifi creatur turn the riverbank into a gruesom sea of blood¡¦ amid the chaos, hyun-seo is helplessli snatch up by the creatur right befor gang-du' eyes. these unforeseen circumst render the govern powerless to act. but receiv a call of help from hyun-seo, the once-ordinari citizen gang-du and hi famili are thrust into a battl with the monster to rescu their belov hyun-seo.song kang-ho, park hae-il, bae doona"
basic,10782,John McTiernan,"action, drama, mystery, thriller, crimedrug addiction, militari court, panama, militari service, court, ranger, suprem court, lager, militari crimea dea agent investig the disappear of a legendari armi ranger drill sergeant and sever of hi cadet dure a train exercis gone sever awry.john travolta, conni nielsen, samuel l. jackson"
blood work,9573,Clint Eastwood,"crime, drama, mystery, thrillerhouseboat, heart, investigation, police, ex-cop, suspense, heart transplant, fbi profilerstil recov from a heart transplant, a retir fbi profil return to servic when hi own blood analysi offer clue to the ident of a serial killer.clint eastwood, jeff daniels, anjelica huston"
the international,4959,Tom Tykwer,"drama, thriller, crimeduringcreditsstingeran interpol agent and an attorney are determin to bring one of the world' most power bank to justice. uncov money laundering, arm trading, and conspiraci to destabil world governments, their investig take them from berlin, milan, new york and istanbul. find themselv in a chase across the globe, their relentless tenac put their own live at risk.cliv owen, naomi watts, armin mueller-stahl"
escape from l.a.,10061,John Carpenter,"action, adventure, scienc fiction, thrillerprison, usa president, earthquake, dystopia, attempt to escape, lo angeles, reluct herothi time, a cataclysm temblor hit lo angeles, turn it into an island. the presid view the quak as a sign from above, expel lo angel from the countri and make it a penal coloni for those found guilti of moral crimes. when hi daughter, part of a resist movement, steal the control unit for a doomsday weapon, snake again get tap to save the day.kurt russell, staci keach, steve buscemi"
the iron giant,10386,Brad Bird,"adventure, animation, family, fantasy, scienc fictioncold war, friendship, giant robot, sit on a toilet, fear of unknown, 1950s, laxativein the small town of rockwell, main in octob 1957, a giant metal machin befriend a nine-year-old boy and ultim find it human by unselfishli save peopl from their own fear and prejudices. marienthal, jennif aniston, vin diesel"
the life aquatic with steve zissou,421,Wes Anderson,"adventure, comedy, dramaocean, film making, loss of mother, cynic, red cap, shipw anderson’ incis quirki comedi build up star complex charact like in ‘the royal tenenbaums’ with bill murray on in the lead role. an ocean adventur documentari film maker zissou is put in all imagin life situat and a tough life crisi as he attempt to make a new film about captur the creatur that caus him pain.bil murray, anjelica huston, cate blanchett"
free state of jones,316152,Gary Ross,"war, action, drama, history, thrillerslavery, american civil warin 1863, mississippi farmer newt knight serv as a medic for the confeder army. oppos to slavery, knight would rather help the wound than fight the union. after hi nephew die in battle, newt return home to jone counti to safeguard hi famili but is soon brand an outlaw deserter. forc to flee, he find refug with a group of runaway slave hide out in the swamps. forg an allianc with the slave and other farmers, knight lead a rebellion that would forev chang history.matthew mcconaughey, gugu mbatha-raw, mahershala ali"
the life of david gale,11615,Alan Parker,"drama, thriller, crimeprison, journalist, texas, professor, death penalty, death row, interview, murder, reporter, intern, innocent, activista man against capit punish is accus of murder a fellow activist and is sent to death row.kevin spacey, kate winslet, laura linney"
man of the house,13498,Stephen Herek,"comedy, actiontexa ranger roland sharp is assign to protect the onli wit to the murder of a key figur in the prosecut of a drug kingpin -- a group of univers of texa cheerleaders. sharp must now go undercov as an assist cheerlead coach and move in with the young women.tommi lee jones, cedric the entertainer, christina milian"
run all night,241554,Jaume Collet-Serra,"action, crime, drama, mystery, thrillerhitman, revenge, murder, on the run, mobsterbrooklyn mobster and prolif hit man jimmi conlon ha seen better days. longtim best friend of a mob boss, jimmi is haunt by the sin of hi past—a well as a dog polic detect who’ been one step behind jimmi for 30 years. but when jimmy’ estrang son becom a target, jimmi must make a choic between the crime famili he chose and the real famili he abandon long ago. now, with nowher safe to turn, jimmi ha just one night to figur out exactli where hi loyalti lie and to see if he can final make thing right.liam neeson, ed harris, joel kinnaman"
eastern promises,2252,David Cronenberg,"thriller, crime, mysterylondon england, gay, male nudity, femal nudity, father son relationship, sex, jealousy, underworld, undercover, hitman, russian, diary, human trafficking, midwife, murder, mother daughter relationship, orphan, gangster, motorcycle, bathhousea russian teenag live in london who die dure childbirth leav clue to a midwif in her journal that could tie her child to a rape involv a violent russian mob family.naomi watts, viggo mortensen, vincent cassel"
into the blue,11968,John Stockwell,"action, thriller, adventure, crimediving, cocaine, shipwreck, sailing, airplane, wrackwhen they take some friend on an extrem sport adventure, the last thing jare and sam expect to see below the shark-infest water is a legendari pirat ship rumor to contain million of dollar in gold. but their good fortun is short-lived, as a ruthless gang of crimin get word of what they have uncovered.paul walker, jessica alba, scott caan"
the messenger: the story of joan of arc,10047,Luc Besson,"adventure, drama, action, history, warschizophrenia, france, rape, siege, biography, orléans, charl vii., fals history, joan of arc, religi delusionsin 1429 a teenag girl from a remot french villag stood befor her king with a messag she claim came from god; that she would defeat the world' greatest armi and liber her countri from it polit and religi turmoil. follow her mission to reclaim god' dimish kingdom - through her amaz victori until her violent and untim death.milla jovovich, dustin hoffman, fay dunaway"
your highness,38319,David Gordon Green,"comedykidnapping, traitor, virgin, prince, princess, revenge, minotaur, knight, dragon, wedding, king, sword and sorcerya fantasi movi about an arrogant, lazi princ and hi more heroic brother who must complet a quest in order to save their father' kingdom.danni mcbride, jame franco, natali portman"
dream house,69668,Jim Sheridan,"drama, thriller, mysteryhous fire, extens ladder, last day on jobpublisher, will atenton quit a lucr job in new york to reloc hi wife, libbi and their daughter to a quaint town in new england. however, as they settl into their home the atenton discov that a woman and her children were murder there, and the surviv husband is the town' prime suspect. with help from a neighbor who wa close to the murder family, will piec togeth a horrifi chain of events.daniel craig, naomi watts, rachel weisz"
mad city,9770,Costa-Gavras,"action, drama, thrillerjournalist, museum, hostag drama, independ filma misguid museum guard who lose hi job and then tri to get it back at gunpoint is thrown into the fierc world of ratings-driven tv gone mad.john travolta, dustin hoffman, mia kirshner"
baby's day out,11212,Patrick Read Johnson,"action, adventure, comedy, familybaby, hoodlum, lost childbabi bink couldn't ask for more; he ha ador (if somewhat sickly-sweet) parents, he live in a huge mansion, and he' just about to appear in the social page of the paper. unfortunately, not everyon in the world is as nice as babi bink' parents; especi the three enterpris kidnap who pretend to be photograph from the newspaper. success kidnap babi bink, they have a harder time keep hold of the rascal, who not onli keep one step ahead of them, but seem to be more than a littl bit smarter than the three bumbl criminals.jo mantegna, lara flynn boyle, joe pantoliano"
the scarlet letter,10533,Roland Joffé,"drama, history, romancebas on novel, burn of witches, puritan, pregnancy, period drama, extramarit affairset in puritan boston in the mid 1600s, the stori of seamstress hester prynne, who is outcast after she becom pregnant by a respect reverend. she refus to divulg the name of the father, is ""convicted"" of adulteri and forc to wear a scarlet ""a"" until an indian attack unit the puritan and lead to a reevalu of their law and morals.demi moore, gari oldman, robert duval"
fair game,38363,Doug Liman,"drama, thrillercia, nuclear scientist, iraq, politician, duringcreditsstingerwif and mother valeri plame (naomi watts) ha a doubl life as a cia operative, hide her vocat from famili and friends. her husband, joseph wilson (sean penn), write a controversi articl in the new york times, refut stori about the sale of enrich uranium to iraq, then valerie' secret work and ident is leak to the press. with her cover blown and other peopl endangered, valerie' career and person life begin to unravel.naomi watts, sean penn, ty burrel"
domino,9923,Tony Scott,"action, crimebounti hunter, fbi, weapon, spectacleth daughter of actor, laurenc harvey turn away from her career as a ford model to becom a bounti hunter.keira knightley, mickey rourke, edgar ramírez"
jade,11863,William Friedkin,"action, thriller, mystery, romancecallgirl, san francisco, investigation, murdersomeon doe a nasti hatchet job on a san fransisco big nois and the assist d.a. take charg of the investigation. through a web of blackmail and prostitut involv the governor, an old lover of the law man emerg as a prime suspect and he ha to deal with hi person feel as well as the case.david caruso, linda fiorentino, chazz palminteri"
gamer,18501,"Brian Taylor, Mark Neveldine","action, thriller, scienc fictiondystopia, mind control, gun battle, wrong imprisonment, dystop future, wrong conviction, onlin gamingmind-control technolog ha taken societi by a storm, a multiplay on-lin game call ""slayers"" allow player to control human prison in mass-scale. simon (lerman) control kabl (butler), the onlin champion of the game. kable' ultim challeng becom regain hi ident and independ by defeat the game' mastermind (hall).gerard butler, michael c. hall, logan lerman"
beautiful creatures,109491,Richard LaGravenese,"fantasy, drama, romancecivil war, southern usa, magic, light, dark, class prejudice, casters, base on young adult novelethan wate just want to get to know lena duchann better, but unbeknownst to him, lena ha strang powers. as lena' 16th birthday approach she might decid her fate, to be good or evil. a choic which will impact her relationship forever.alden ehrenreich, alic englert, jeremi iron"
death to smoochy,9275,Danny DeVito,"comedy, crime, drama, thrillercorruption, moderator, tv show, success, irish mob, duringcreditsstingertel the stori of rainbow randolph, the corrupt, costum star of a popular children' tv show, who is fire over a briberi scandal and replac by squeaky-clean smoochy, a puffi fuscia rhinoceros. as smoochi catapult to fame - score hit rate and the affect of a network execut - randolph make the unsuspect rhino the target of hi numer outrag attempt to exact reveng and reclaim hi statu as america' sweetheart.robin williams, catherin keener, edward norton"
zoolander 2,329833,Ben Stiller,"comedystupidity, sequel, fashion, male model, fashion model, modelingderek and hansel are model again when an oppos compani attempt to take them out from the business.ben stiller, owen wilson, will ferrel"
the big bounce,12634,George Armitage,"comedy, crimehotel, robbery, base on novel, judge, hawaii, blackmail, seduction, yacht, waterfall, delinquency, safe, stolen money, deception, skinni dipping, cell phone, doubl cross, beach house, elmor leonard, scheming, yellow bikinia small-tim con artist and a hawaiian real estat developer' mischievous, enterpris mistress team up for a potenti $200,000 score.owen wilson, morgan freeman, gari sinis"
what planet are you from?,10416,Mike Nichols,"comedy, drama, romance, scienc fictionnoises, alien life-form, erection, neue frau, alien, reproductiona highly-evolv planet, whose denizen feel no emot and reproduc by cloning, plan to take over earth from the insid by send an operative, fashion with a humming, mechan penis, to impregn an earthl and stay until the birth. the alien, harold anderson, goe to phoenix as a banker and set to work find a mate. hi approach to women are inept, and the hum phallu doesn't help, but on the advic of a bank colleague, he cruis an aa meeting, meet susan, and somehow convinc her to marry. the clock start to tick: will she conceive, have a baby, and lose harold (and the child) to hi planet befor he discov emot and start to care?garri shandling, annett bening, john goodman"
drive angry,47327,Patrick Lussier,"fantasy, thriller, action, crimebone, car explosion, premarit sex, satan cult, driver' license, finger gun, backhand slap, car jump, man punch a woman, magic trickmilton is a harden felon who ha broken out of hell, intent on find the viciou cult who brutal murder hi daughter and kidnap her baby. he join forc with piper, a sexy, tough-as-nail waitress with a 69 charger, who' also seek redempt of her own. caught in a deadli race against time, milton ha three day to avoid capture, aveng hi daughter' death, and save her babi befor she' mercilessli sacrif by the cult.nicola cage, amber heard, william fichtner"
street fighter: the legend of chun-li,15268,Andrzej Bartkowiak,"action, adventure, scienc fiction, thrillermarti arts, revenge, street fighter, base on video gamewhen a teenager, chun-li wit the kidnap of her father by wealthi crime lord m. bison. when she grow up, she goe into a quest for vengeanc and becom the famou crime-fight of the street fighter universe.kristin kreuk, chri klein, neal mcdonough"
the one,10796,James Wong,"action, scienc fiction, thrillerdu identitya sheriff' deputi fight an altern univers version of himself who grow stronger with each altern self he kills.jet li, jason statham, carla gugino"
